PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Namechars,Sex_vals,Embarked_vals
286,0,3,33.0,0,0,8.6625,19,0.0,0.0
287,1,3,30.0,0,0,9.5,23,0.0,2.0
288,0,3,22.0,0,0,7.8958,20,0.0,2.0
289,1,2,42.0,0,0,13.0,20,0.0,2.0
290,1,3,22.0,0,0,7.75,20,1.0,1.0
292,1,1,19.0,1,0,91.0792,39,1.0,0.0
293,0,2,36.0,0,0,12.875,22,0.0,0.0
296,0,1,28.0,0,0,27.7208,17,0.0,0.0
300,1,1,50.0,0,1,247.5208,47,1.0,0.0
301,1,3,28.0,0,0,7.75,40,1.0,1.0
302,1,3,28.0,2,0,23.25,18,0.0,1.0
303,0,3,19.0,0,0,0.0,31,0.0,2.0
304,1,2,28.0,0,0,12.35,19,1.0,1.0
305,0,3,28.0,0,0,8.05,33,0.0,2.0
306,1,1,0.92,1,2,151.55,30,0.0,2.0
307,1,1,28.0,0,0,110.8833,23,1.0,0.0
309,0,2,30.0,1,0,24.0,19,0.0,0.0
310,1,1,30.0,0,0,56.9292,30,1.0,0.0
311,1,1,24.0,0,0,83.1583,30,1.0,0.0
312,1,1,18.0,2,2,262.375,26,1.0,0.0
313,0,2,26.0,1,1,26.0,37,1.0,2.0
315,0,2,43.0,1,1,26.25,18,0.0,2.0
321,0,3,22.0,0,0,7.25,18,0.0,2.0
322,0,3,27.0,0,0,7.8958,16,0.0,2.0
324,1,2,22.0,1,1,29.0,51,1.0,2.0
325,0,3,28.0,8,2,69.55,24,0.0,2.0
330,1,1,16.0,0,1,57.9792,28,1.0,0.0
331,1,3,28.0,2,0,23.25,18,1.0,1.0
333,0,1,38.0,0,1,153.4625,25,0.0,2.0
337,0,1,29.0,1,0,66.6,25,0.0,2.0
338,1,1,41.0,0,0,134.5,31,1.0,0.0
339,1,3,45.0,0,0,8.05,21,0.0,2.0
341,1,2,2.0,1,1,26.0,30,0.0,2.0
342,1,1,24.0,3,2,263.0,30,1.0,2.0
343,0,2,28.0,0,0,13.0,26,0.0,2.0
350,0,3,42.0,0,0,8.6625,16,0.0,2.0
351,0,3,23.0,0,0,9.225,22,0.0,2.0
353,0,3,15.0,1,1,7.2292,18,0.0,0.0
356,0,3,28.0,0,0,9.5,27,0.0,2.0
357,1,1,22.0,0,1,55.0,27,1.0,2.0
358,0,2,38.0,0,0,13.0,25,1.0,2.0
359,1,3,28.0,0,0,7.8792,20,1.0,1.0
362,0,2,29.0,1,0,27.7208,25,0.0,0.0
363,0,3,45.0,0,1,14.4542,31,1.0,0.0
364,0,3,35.0,0,0,7.05,15,0.0,2.0
366,0,3,30.0,0,0,7.25,30,0.0,2.0
367,1,1,60.0,1,0,75.25,48,1.0,0.0
368,1,3,28.0,0,0,7.2292,30,1.0,0.0
371,1,1,25.0,1,0,55.4417,27,0.0,0.0
372,0,3,18.0,1,0,6.4958,25,0.0,2.0
373,0,3,19.0,0,0,8.05,26,0.0,2.0
374,0,1,22.0,0,0,135.6333,19,0.0,0.0
375,0,3,3.0,3,1,21.075,26,1.0,2.0
376,1,1,28.0,1,0,82.1708,37,1.0,0.0
377,1,3,22.0,0,0,7.25,31,1.0,2.0
378,0,1,27.0,0,2,211.5,25,0.0,0.0
380,0,3,19.0,0,0,7.775,27,0.0,2.0
382,1,3,1.0,0,2,15.7417,27,1.0,0.0
383,0,3,32.0,0,0,7.925,18,0.0,2.0
384,1,1,35.0,1,0,52.0,51,1.0,2.0
385,0,3,28.0,0,0,7.8958,22,0.0,2.0
388,1,2,36.0,0,0,13.0,16,1.0,2.0
389,0,3,28.0,0,0,7.7292,20,0.0,1.0
390,1,2,17.0,0,0,12.0,21,1.0,0.0
391,1,1,36.0,1,2,120.0,26,0.0,2.0
393,0,3,28.0,2,0,7.925,28,0.0,2.0
394,1,1,23.0,1,0,113.275,22,1.0,0.0
395,1,3,24.0,0,2,16.7,51,1.0,2.0
397,0,3,31.0,0,0,7.8542,19,1.0,2.0
398,0,2,46.0,0,0,26.0,23,0.0,2.0
399,0,2,23.0,0,0,10.5,16,0.0,2.0
400,1,2,28.0,0,0,12.65,32,1.0,2.0
401,1,3,39.0,0,0,7.925,18,0.0,2.0
402,0,3,26.0,0,0,8.05,15,0.0,2.0
403,0,3,21.0,1,0,9.825,24,1.0,2.0
406,0,2,34.0,1,0,21.0,18,0.0,2.0
407,0,3,51.0,0,0,7.75,32,0.0,2.0
409,0,3,21.0,0,0,7.775,33,0.0,2.0
410,0,3,28.0,3,1,25.4667,18,1.0,2.0
411,0,3,28.0,0,0,7.8958,18,0.0,2.0
413,1,1,33.0,1,0,90.0,22,1.0,1.0
414,0,2,28.0,0,0,0.0,30,0.0,2.0
418,1,2,18.0,0,2,13.0,29,1.0,2.0
420,0,3,10.0,0,2,24.15,25,1.0,2.0
421,0,3,28.0,0,0,7.8958,22,0.0,0.0
422,0,3,21.0,0,0,7.7333,19,0.0,1.0
423,0,3,29.0,0,0,7.875,18,0.0,2.0
424,0,3,28.0,1,1,14.4,54,1.0,2.0
425,0,3,18.0,1,1,20.2125,27,0.0,2.0
426,0,3,28.0,0,0,7.25,22,0.0,2.0
428,1,2,19.0,0,0,26.0,67,1.0,2.0
429,0,3,28.0,0,0,7.75,16,0.0,1.0
432,1,3,28.0,1,0,16.1,49,1.0,2.0
434,0,3,17.0,0,0,7.125,26,0.0,2.0
436,1,1,14.0,1,2,120.0,25,1.0,2.0
437,0,3,21.0,2,2,34.375,36,1.0,2.0
438,1,2,24.0,2,3,18.75,37,1.0,2.0
439,0,1,64.0,1,4,263.0,17,0.0,2.0
440,0,2,31.0,0,0,10.5,38,0.0,2.0
441,1,2,45.0,1,1,26.25,43,1.0,2.0
443,0,3,25.0,1,0,7.775,25,0.0,2.0
444,1,2,28.0,0,0,13.0,25,1.0,2.0
446,1,1,4.0,0,2,81.8583,25,0.0,2.0
447,1,2,13.0,0,1,19.5,33,1.0,2.0
450,1,1,52.0,0,0,30.5,30,0.0,2.0
452,0,3,28.0,1,0,19.9667,31,0.0,2.0
453,0,1,30.0,0,0,27.75,31,0.0,0.0
454,1,1,49.0,1,0,89.1042,24,0.0,0.0
457,0,1,65.0,0,0,26.55,25,0.0,2.0
458,1,1,28.0,1,0,51.8625,33,1.0,2.0
459,1,2,50.0,0,0,10.5,19,1.0,2.0
460,0,3,28.0,0,0,7.75,21,0.0,1.0
461,1,1,48.0,0,0,26.55,19,0.0,2.0
462,0,3,34.0,0,0,8.05,19,0.0,2.0
463,0,1,47.0,0,0,38.5,17,0.0,2.0
464,0,2,48.0,0,0,13.0,28,0.0,2.0
465,0,3,28.0,0,0,8.05,18,0.0,2.0
467,0,2,28.0,0,0,0.0,21,0.0,2.0
470,1,3,0.75,2,1,19.2583,29,1.0,0.0
471,0,3,28.0,0,0,7.25,17,0.0,2.0
473,1,2,33.0,1,2,27.75,39,1.0,2.0
474,1,2,23.0,0,0,13.7917,44,1.0,0.0
476,0,1,28.0,0,0,52.0,27,0.0,2.0
477,0,2,34.0,1,0,21.0,23,0.0,2.0
478,0,3,29.0,1,0,7.0458,25,0.0,2.0
479,0,3,22.0,0,0,7.5208,25,0.0,2.0
481,0,3,9.0,5,2,46.9,30,0.0,2.0
482,0,2,28.0,0,0,0.0,32,0.0,2.0
483,0,3,50.0,0,0,8.05,24,0.0,2.0
484,1,3,63.0,0,0,9.5875,22,1.0,2.0
485,1,1,25.0,1,0,91.0792,23,0.0,0.0
486,0,3,28.0,3,1,25.4667,22,1.0,2.0
487,1,1,35.0,1,0,90.0,47,1.0,2.0
489,0,3,30.0,0,0,8.05,29,0.0,2.0
491,0,3,28.0,1,0,19.9667,36,0.0,2.0
492,0,3,21.0,0,0,7.25,19,0.0,2.0
494,0,1,71.0,0,0,49.5042,23,0.0,0.0
496,0,3,28.0,0,0,14.4583,21,0.0,0.0
498,0,3,28.0,0,0,15.1,31,0.0,2.0
500,0,3,24.0,0,0,7.7958,18,0.0,2.0
501,0,3,17.0,0,0,8.6625,16,0.0,2.0
502,0,3,21.0,0,0,7.75,19,1.0,1.0
503,0,3,28.0,0,0,7.6292,30,1.0,1.0
504,0,3,37.0,0,0,9.5875,30,1.0,2.0
505,1,1,16.0,0,0,86.5,21,1.0,2.0
506,0,1,18.0,1,0,108.9,42,0.0,0.0
508,1,1,28.0,0,0,26.55,45,0.0,2.0
510,1,3,26.0,0,0,56.4958,14,0.0,2.0
511,1,3,29.0,0,0,7.75,24,0.0,1.0
513,1,1,36.0,0,0,26.2875,25,0.0,2.0
516,0,1,47.0,0,0,34.0208,28,0.0,2.0
517,1,2,34.0,0,0,10.5,28,1.0,2.0
518,0,3,28.0,0,0,24.15,17,0.0,1.0
519,1,2,36.0,1,0,26.0,52,1.0,2.0
521,1,1,30.0,0,0,93.5,21,1.0,2.0
522,0,3,22.0,0,0,7.8958,15,0.0,2.0
523,0,3,28.0,0,0,7.225,18,0.0,0.0
524,1,1,44.0,0,1,57.9792,47,1.0,0.0
525,0,3,28.0,0,0,7.2292,17,0.0,0.0
528,0,1,28.0,0,0,221.7792,18,0.0,2.0
529,0,3,39.0,0,0,7.925,25,0.0,2.0
530,0,2,23.0,2,1,11.5,27,0.0,2.0
531,1,2,2.0,1,1,26.0,24,1.0,2.0
532,0,3,28.0,0,0,7.2292,17,0.0,0.0
535,0,3,30.0,0,0,8.6625,19,1.0,2.0
536,1,2,7.0,0,2,26.25,22,1.0,2.0
537,0,1,45.0,0,0,26.55,33,0.0,2.0
538,1,1,30.0,0,0,106.425,19,1.0,0.0
539,0,3,28.0,0,0,14.5,24,0.0,2.0
540,1,1,22.0,0,2,49.5,34,1.0,0.0
542,0,3,9.0,4,2,31.275,36,1.0,2.0
543,0,3,11.0,4,2,31.275,33,1.0,2.0
544,1,2,32.0,1,0,26.0,17,0.0,2.0
546,0,1,64.0,0,0,26.0,28,0.0,2.0
547,1,2,19.0,1,0,26.0,33,1.0,2.0
549,0,3,33.0,1,1,20.525,25,0.0,2.0
551,1,1,17.0,0,2,110.8833,27,0.0,0.0
552,0,2,27.0,0,0,26.0,27,0.0,2.0
554,1,3,22.0,0,0,7.225,33,0.0,0.0
555,1,3,22.0,0,0,7.775,18,1.0,2.0
556,0,1,62.0,0,0,26.55,18,0.0,2.0
557,1,1,48.0,1,0,39.6,65,1.0,0.0
558,0,1,28.0,0,0,227.525,19,0.0,0.0
559,1,1,39.0,1,1,79.65,38,1.0,2.0
560,1,3,36.0,1,0,17.4,44,1.0,2.0
561,0,3,28.0,0,0,7.75,24,0.0,1.0
563,0,2,28.0,0,0,13.5,26,0.0,2.0
564,0,3,28.0,0,0,8.05,17,0.0,2.0
565,0,3,28.0,0,0,8.05,30,1.0,2.0
566,0,3,24.0,2,0,24.15,20,0.0,2.0
569,0,3,28.0,0,0,7.2292,19,0.0,0.0
570,1,3,32.0,0,0,7.8542,17,0.0,2.0
572,1,1,53.0,2,0,51.4792,45,1.0,2.0
573,1,1,36.0,0,0,26.3875,32,0.0,2.0
575,0,3,16.0,0,0,8.05,28,0.0,2.0
576,0,3,19.0,0,0,14.5,20,0.0,2.0
578,1,1,39.0,1,0,55.9,41,1.0,2.0
579,0,3,28.0,1,0,14.4583,32,1.0,0.0
581,1,2,25.0,1,1,30.0,27,1.0,2.0
582,1,1,39.0,1,1,110.8833,52,1.0,0.0
583,0,2,54.0,0,0,26.0,26,0.0,2.0
584,0,1,36.0,0,0,40.125,19,0.0,0.0
585,0,3,28.0,0,0,8.7125,19,0.0,0.0
587,0,2,47.0,0,0,15.0,23,0.0,2.0
588,1,1,60.0,1,1,79.2,32,0.0,0.0
589,0,3,22.0,0,0,8.05,21,0.0,2.0
596,0,3,36.0,1,1,24.15,27,0.0,2.0
600,1,1,49.0,1,0,56.9292,44,0.0,0.0
601,1,2,24.0,2,1,27.0,51,1.0,2.0
602,0,3,28.0,0,0,7.8958,20,0.0,2.0
603,0,1,28.0,0,0,42.4,25,0.0,2.0
605,1,1,35.0,0,0,26.55,31,0.0,0.0
606,0,3,36.0,1,0,15.55,29,0.0,2.0
607,0,3,30.0,0,0,7.8958,17,0.0,2.0
609,1,2,22.0,1,2,41.5792,53,1.0,0.0
610,1,1,40.0,0,0,153.4625,25,1.0,2.0
611,0,3,39.0,1,5,31.275,57,1.0,2.0
612,0,3,28.0,0,0,7.05,21,0.0,2.0
613,1,3,28.0,1,0,15.5,27,1.0,1.0
614,0,3,28.0,0,0,7.75,16,0.0,1.0
615,0,3,35.0,0,0,8.05,31,0.0,2.0
617,0,3,34.0,1,1,14.4,25,0.0,2.0
618,0,3,26.0,1,0,16.1,47,1.0,2.0
619,1,2,4.0,2,1,39.0,27,1.0,2.0
620,0,2,26.0,0,0,10.5,19,0.0,2.0
621,0,3,27.0,1,0,14.4542,19,0.0,0.0
622,1,1,42.0,1,0,52.5542,28,0.0,2.0
623,1,3,20.0,1,1,15.7417,16,0.0,0.0
624,0,3,21.0,0,0,7.8542,27,0.0,2.0
625,0,3,21.0,0,0,16.1,27,0.0,2.0
628,1,1,21.0,0,0,77.9583,29,1.0,2.0
629,0,3,26.0,0,0,7.8958,25,0.0,2.0
630,0,3,28.0,0,0,7.7333,24,0.0,1.0
632,0,3,51.0,0,0,7.0542,27,0.0,2.0
633,1,1,32.0,0,0,30.5,25,0.0,0.0
634,0,1,28.0,0,0,0.0,29,0.0,2.0
636,1,2,28.0,0,0,13.0,17,1.0,2.0
637,0,3,32.0,0,0,7.925,26,0.0,2.0
638,0,2,31.0,1,1,26.25,19,0.0,2.0
639,0,3,41.0,0,5,39.6875,38,1.0,2.0
641,0,3,20.0,0,0,7.8542,22,0.0,2.0
642,1,1,24.0,0,0,69.3,20,1.0,0.0
643,0,3,2.0,3,2,27.9,29,1.0,2.0
644,1,3,28.0,0,0,56.4958,15,0.0,2.0
645,1,3,0.75,2,1,19.2583,22,1.0,0.0
646,1,1,48.0,1,0,76.7292,25,0.0,0.0
647,0,3,19.0,0,0,7.8958,17,0.0,2.0
648,1,1,56.0,0,0,35.5,35,0.0,0.0
649,0,3,28.0,0,0,7.55,18,0.0,2.0
650,1,3,23.0,0,0,7.55,31,1.0,2.0
652,1,2,18.0,0,1,23.0,19,1.0,2.0
655,0,3,18.0,0,0,6.75,28,1.0,1.0
656,0,2,24.0,2,0,73.5,25,0.0,2.0
658,0,3,32.0,1,1,15.5,29,1.0,1.0
660,0,1,58.0,0,2,113.275,26,0.0,0.0
661,1,1,50.0,2,0,133.65,29,0.0,2.0
662,0,3,40.0,0,0,7.225,17,0.0,0.0
664,0,3,36.0,0,0,7.4958,16,0.0,2.0
665,1,3,20.0,1,0,7.925,27,0.0,2.0
667,0,2,25.0,0,0,13.0,27,0.0,2.0
668,0,3,28.0,0,0,7.775,26,0.0,2.0
669,0,3,43.0,0,0,8.05,15,0.0,2.0
670,1,1,28.0,1,0,52.0,49,1.0,2.0
671,1,2,40.0,1,1,39.0,61,1.0,2.0
673,0,2,70.0,0,0,10.5,27,0.0,2.0
674,1,2,31.0,0,0,13.0,21,0.0,2.0
676,0,3,18.0,0,0,7.775,30,0.0,2.0
677,0,3,24.5,0,0,8.05,29,0.0,2.0
678,1,3,18.0,0,0,9.8417,23,1.0,2.0
679,0,3,43.0,1,6,46.9,39,1.0,2.0
680,1,1,36.0,0,1,512.3292,34,0.0,0.0
681,0,3,28.0,0,0,8.1375,19,1.0,1.0
682,1,1,27.0,0,0,76.7292,18,0.0,0.0
683,0,3,20.0,0,0,9.225,27,0.0,2.0
684,0,3,14.0,5,2,46.9,27,0.0,2.0
685,0,2,60.0,1,1,39.0,33,0.0,2.0
688,0,3,19.0,0,0,10.1708,17,0.0,2.0
689,0,3,18.0,0,0,7.7958,31,0.0,2.0
690,1,1,15.0,0,1,211.3375,33,1.0,2.0
692,1,3,4.0,0,1,13.4167,18,1.0,0.0
693,1,3,28.0,0,0,56.4958,12,0.0,2.0
695,0,1,60.0,0,0,26.55,15,0.0,2.0
697,0,3,44.0,0,0,8.05,16,0.0,2.0
698,1,3,28.0,0,0,7.7333,32,1.0,1.0
701,1,1,18.0,1,0,227.525,49,1.0,0.0
702,1,1,35.0,0,0,26.2875,32,0.0,2.0
703,0,3,18.0,0,1,14.4542,21,1.0,0.0
705,0,3,26.0,1,0,7.8542,23,0.0,2.0
706,0,2,39.0,0,0,26.0,46,0.0,2.0
708,1,1,42.0,0,0,26.2875,33,0.0,2.0
709,1,1,22.0,0,0,151.55,20,1.0,2.0
710,1,3,28.0,1,1,15.2458,49,0.0,0.0
711,1,1,24.0,0,0,49.5042,48,1.0,0.0
712,0,1,28.0,0,0,26.55,18,0.0,2.0
714,0,3,29.0,0,0,9.4833,26,0.0,2.0
716,0,3,19.0,0,0,7.65,42,0.0,2.0
